segment_file,predicted_label,Metric
046i_00_0.png,0,0.650384
046i_00_1.png,4,0.699883
046i_00_2.png,6,0.618058
046i_00_3.png,j,0.499792
06cy_01_0.png,0,0.650086
06cy_01_1.png,6,0.637337
06cy_01_2.png,o,0.612967
06cy_01_3.png,y,0.698938
0aed_01_0.png,0,0.647288
0aed_01_1.png,a,0.620977
0aed_01_2.png,e,0.682914
0aed_01_3.png,d,0.627711
0aed_02_0.png,0,0.647288
0aed_02_1.png,a,0.620977
0aed_02_2.png,e,0.682914
0aed_02_3.png,d,0.627711
0go9_02_0.png,0,0.645198
0go9_02_1.png,q,0.481525
0go9_02_2.png,o,0.712972
0go9_02_3.png,9,0.573858
0go9_03_0.png,0,0.645198
0go9_03_1.png,q,0.481525
0go9_03_2.png,o,0.712972
0go9_03_3.png,9,0.573858
0m5q_04_0.png,0,0.654552
0m5q_04_1.png,m,0.641481
0m5q_04_2.png,5,0.635105
0m5q_04_3.png,q,0.639934
0ph2_05_0.png,0,0.642307
0ph2_05_1.png,p,0.634936
0ph2_05_2.png,h,0.677487
0ph2_05_3.png,2,0.712576
0qoo_03_0.png,0,0.653435
0qoo_03_1.png,q,0.636859
0qoo_03_2.png,o,0.734119
0qoo_03_3.png,o,0.754871
0qoo_05_0.png,0,0.653435
0qoo_05_1.png,q,0.636859
0qoo_05_2.png,o,0.734119
0qoo_05_3.png,o,0.754871
0qoo_06_0.png,0,0.653435
0qoo_06_1.png,q,0.636859
0qoo_06_2.png,o,0.734119
0qoo_06_3.png,o,0.754871
0wqu_06_0.png,0,0.630446
0wqu_06_1.png,w,0.651832
0wqu_06_2.png,q,0.613502
0wqu_06_3.png,u,0.571197
0wqu_07_0.png,0,0.630446
0wqu_07_1.png,w,0.651832
0wqu_07_2.png,q,0.613502
0wqu_07_3.png,u,0.571197
0y6d_00_0.png,0,0.639823
0y6d_00_1.png,y,0.663666
0y6d_00_2.png,6,0.653558
0y6d_00_3.png,d,0.613621
0y6d_03_0.png,0,0.639823
0y6d_03_1.png,y,0.663666
0y6d_03_2.png,6,0.653558
0y6d_03_3.png,d,0.613621
0y6d_04_0.png,0,0.639823
0y6d_04_1.png,y,0.663666
0y6d_04_2.png,6,0.653558
0y6d_04_3.png,d,0.613621
0y6d_07_0.png,0,0.639823
0y6d_07_1.png,y,0.663666
0y6d_07_2.png,6,0.653558
0y6d_07_3.png,d,0.613621
0y6d_08_0.png,0,0.639823
0y6d_08_1.png,y,0.663666
0y6d_08_2.png,6,0.653558
0y6d_08_3.png,d,0.613621
1c60_08_0.png,1,0.801075
1c60_08_1.png,o,0.616363
1c60_08_2.png,6,0.601385
1c60_08_3.png,o,0.662599
1c60_09_0.png,1,0.801075
1c60_09_1.png,o,0.616363
1c60_09_2.png,6,0.601385
1c60_09_3.png,o,0.662599
1n2j_10_0.png,1,0.790234
1n2j_10_1.png,n,0.582195
1n2j_10_2.png,2,0.703992
1n2j_10_3.png,j,0.492977
1qsy_09_0.png,1,0.826023
1qsy_09_1.png,q,0.635524
1qsy_09_2.png,8,0.593961
1qsy_09_3.png,y,0.629456
1qsy_10_0.png,1,0.826023
1qsy_10_1.png,q,0.635524
1qsy_10_2.png,8,0.593961
1qsy_10_3.png,y,0.629456
1qsy_11_0.png,1,0.826023
1qsy_11_1.png,q,0.635524
1qsy_11_2.png,8,0.593961
1qsy_11_3.png,y,0.629456
1qzx_04_0.png,1,0.808064
1qzx_04_1.png,q,0.608539
1qzx_04_2.png,z,0.709481
1qzx_04_3.png,x,0.674254
1qzx_05_0.png,1,0.808064
1qzx_05_1.png,q,0.608539
1qzx_05_2.png,z,0.709481
1qzx_05_3.png,x,0.674254
1qzx_09_0.png,1,0.808064
1qzx_09_1.png,q,0.608539
1qzx_09_2.png,z,0.709481
1qzx_09_3.png,x,0.674254
1qzx_10_0.png,1,0.808064
1qzx_10_1.png,q,0.608539
1qzx_10_2.png,z,0.709481
1qzx_10_3.png,x,0.674254
1qzx_11_0.png,1,0.808064
1qzx_11_1.png,q,0.608539
